name,shortDescription     ,longDescription ,requiredSkills  ,expertiseLevel       ,durationEstimateDays,tags,complexityScore
Responsive Portfolio Website with Animations,Build a responsive personal portfolio website with modern UI and smooth animations using component-based architecture and utility-first styling,"Create a fully responsive portfolio site featuring sections for hero, about, projects, and contact. Implement reusable React components, Tailwind CSS for styling, and Framer Motion for page and element animations. Focus on layout, responsiveness, and clean UI without backend integration","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|portfolio|ui|animations",beginner,6-10 hours ,frontend|portfolio|ui|animations,3
Landing Page Builder with Reusable Components,Design a marketing landing page using reusable components and consistent design patterns.,"Develop a modern landing page with multiple sections such as hero, features, testimonials, and CTA. Emphasize reusable React components, responsive layouts with Tailwind CSS, and basic animations. Learn project structuring and component reusability","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|landing-page|components|responsive",beginner,3-5 hours ,frontend|landing-page|components|responsive,3
Theme Toggle Dashboard UI,Create a dashboard interface with light and dark theme switching.,"Build a simple dashboard layout that supports light and dark themes using state management. Implement theme persistence in the browser and responsive UI components. Focus on UI logic, state handling, and clean styling practices.","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Zustand,frontend|dashboard|theme|state-management",beginner,3-5 hours ,frontend|dashboard|theme|state,3
Animated Blog Listing Page,Build a blog listing UI with animated cards and navigation,Create a blog-style interface displaying a list of articles using card components. Add hover and entry animations with Framer Motion and responsive grid layouts. Emphasize clean component structure and UI transitions.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|blog|animations|ui",beginner,6-10 hours ,frontend|blog|ui|animations,4
Interactive Pricing Page UI,Design an interactive pricing page with toggles and highlights,"Develop a pricing page featuring multiple plans, a monthly yearly toggle, and highlighted popular plans. Use React state for interactions and Tailwind CSS for layout and responsiveness. Focus on UI logic and presentation","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|pricing|ui|interaction",beginner,3-5 hours ,frontend|pricing|ui|interaction,3
Form Validation UI with Modern Styling,Create a styled form interface with client-side validation,"Build a contact or signup form with input validation and error handling. Use controlled components in React and Tailwind CSS for styling. Focus on form UX, accessibility basics, and clean UI feedback.","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|forms|validation|ui",beginner,6-10 hours ,frontend|forms|validation|ui,4
Static E-commerce Product Page,Design a product detail page similar to an e-commerce website.,"Create a product page featuring image gallery layout, product details, pricing, and action buttons. Emphasize responsive design, reusable UI components, and clean styling without backend logic.","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|ecommerce|product-page|ui",beginner,6-10 hours ,frontend|ecommerce|product|ui,4
Navigation Menu and Layout System,Build a responsive navigation bar and layout system.,"Develop a reusable navigation bar with mobile menu support and a consistent layout wrapper. Focus on responsive behavior, accessibility basics, and clean component structure using Tailwind CSS","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|navigation|layout|responsive",beginner,1-2 hours ,frontend|navigation|layout|responsive,2
Animated Testimonials Section,Create an animated testimonials section for marketing sites.,Build a testimonials carousel or grid with subtle animations and transitions. Use Framer Motion for entry effects and Tailwind CSS for layout. Focus on UI polish and animation timing.,Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer,beginner,6-10 hours ,frontend|testimonials|ui|animations,3
404 and Error Pages Collection,Design custom 404 and error pages with animations.,"Create a set of custom error pages including 404 and generic error states. Use creative layouts, responsive design, and simple animations to enhance user experience.","Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|error-pages|ui|animations",beginner,6-10 hours ,frontend|error-pages|ui|static,2
Responsive Personal Portfolio UI,Create a clean responsive personal portfolio interface with modern styling.,Build a responsive portfolio with sections for hero about projects and contact. Use reusable React components Tailwind CSS for layout and Framer Motion for subtle animations. Focus on accessibility responsiveness and clean component structure.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|portfolio|responsive|ui",beginner,3-5 hours ,frontend|portfolio|responsive|ui,3
Landing Page Component System,Design a modular landing page using reusable UI components.,Create a marketing landing page with hero features testimonials and call to action. Emphasize component reusability responsive grids and smooth motion effects using Framer Motion.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|landing|components|ui",beginner,3-5 hours ,frontend|landing-page|design-system|components,4
Animated Blog Cards Grid,Create an animated grid of blog cards.,Design a blog listing UI with card components hover effects and entrance animations. Use responsive grids and motion timing for polished UI transitions,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3|Framer Motion,frontend|blog|cards|animations",beginner,3-5 hours ,frontend|blog|cards|animations,3
Interactive Pricing Section UI,Build an interactive pricing section with plan toggles.,Create a pricing UI with monthly yearly toggle plan highlights and responsive layout. Use React state and Tailwind utilities for interaction and presentation.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|pricing|interaction|ui",beginner,6-10 hours ,frontend|pricing|toggle|ui,3
Form UI with Client Validation,Design a modern form UI with validation feedback.,Build a contact or signup form using controlled inputs validation messages and accessible labels. Focus on UX clarity and responsive styling.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|forms|validation|ux",beginner,3-5 hours ,frontend|forms|validation|ux,3
Ecommerce Product Detail UI,Create a product detail interface for ecommerce.,Design a product page with image gallery product info pricing and action buttons. Emphasize responsive layout reusable components and clean UI.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|ecommerce|product|ui",beginner,3-5 hours ,frontend|ecommerce|product-detail|ui,4
Responsive Navigation and Layout,uild a responsive navigation bar and layout shell.,Create a mobile friendly navigation with dropdown menu and a reusable page layout. Focus on accessibility responsiveness and clean component design.,"Next.js|React|JavaScript|Tailwind CSS|HTML5|CSS3,frontend|navigation|layout|responsive",beginner,1-2 hours ,frontend|navigation|layout|responsive,3
